Effect_start     游戏开始    
Effect_Fanjing   翻金
Effect_ting      听
Effect_peng      碰
Effect_chi       吃

Effect_peng01    碰按钮
Effect_xiaoguo   过按钮
Effect_chi01     吃按钮
Effect_zimuo     自摸按钮
Effect_qiang     抢按钮
Effect_hu        胡按钮
Effect_gang      扛按钮
Effect_youjin    游金按钮
Effect_kanjin    金坎按钮
Effect_ting02    听按钮


Effect_Dahu      胡爆点
Effect_Dagang    扛爆点
Effect_Daqiang   抢爆点

Effect_TianHu                 天胡
Effect_DiHu                   地胡
Effect_Shanjindao             三金倒
Effect_Qinyise                清一色
Effect_shishanyao             十三妖 
Effect_shijindao              四金倒
Effect_dashixi                大四喜
Effect_Dazimo                 自摸
Effect_Shazhu                 杀猪
Effect_qidui                  七对
Effect_Dayoujin                游金
Effect_Dapinghu               平胡
Effect_jinlong                金龙
Effect_jinque                 金雀
Effect_jieyise                绝一色
Effect_xianjin                闲金
Effect_qiangjin               抢金
Effect_gaibaoqiangjin         盖宝抢金
Effect_baxianguohai           八仙过海
Effect_huangzhuang            荒庄  
Effect_Haohuaqidui            豪华七对
Effect_Gangshangkaihua        扛上开花
Effect_Sanyou                 三游
Effect_Shuangyou              双游
Effect_Jingang                金扛
Effect_qiangganhu             抢扛胡
Effect_pengpenghu             碰碰胡
Effect_bafanhu                八翻胡
Effect_ChaoHaohuaqidui        超豪华七对
Effect_ZhizunHaohuaqidui      至尊豪华七对
Effect_buhua                  补花
Effect_dianpao                点炮
Effect_shaangcheng            商城
Effect_zuixihuodong           最新活动
Effect_button_08              返回按钮
Effect_youxifenxiang          游戏分享
Effect_fangkax3               房卡x3
Effect_fangkax6               房卡x6
Effect_fangkax18              房卡x18
Effect_btn_shop               商城加号按键     挂点：btn_shop
Effect_xiaofangka             进入商城的小房卡  挂点:Sprite
Effect_kuaishujiaru           快速加入          挂点：Sprite_quickJoin
Effect_julebu                 俱乐部            挂 点:Sprite_club
Sprite_go                     大厅前往的动画    挂点:Sprite_go
Effect_wanjiatouxiang         玩家头像
Effect_wanjiachengji          玩家成绩
